Datum;Ts_in;m_s;Ts_out;I_dir;I_diff;I_glob;T_amb;rho
05.01. 00:15:00;37.4;948;22.2;0;0;0;2.3;94.7
05.01. 00:30:00;33.3;951;31.7;0;0;0;2.3;94.7
05.01. 00:45:00;32.6;0;30.9;0;0;0;2.3;94.7
05.01. 01:00:00;31.9;0;30.2;0;0;0;2.2;93.1
05.01. 01:15:00;31.2;0;29.6;0;0;0;2.2;93.1
05.01. 01:30:00;32;953;27.3;0;0;0;2.2;93.1
05.01. 01:45:00;33.7;956;23.4;0;0;0;2.2;93.1
05.01. 02:00:00;33.8;950;29;0;0;0;2;94.1
05.01. 02:15:00;32.5;0;28.3;0;0;0;2;94.1
05.01. 02:30:00;31.9;0;27.7;0;0;0;2;94.1
05.01. 02:45:00;31.2;0;27.3;0;0;0;2;94.1
05.01. 03:00:00;33.8;948;21.7;0;0;0;1.9;88.7
05.01. 03:15:00;31.3;952;27.8;0;0;0;1.9;88.7
