Datum;Ts_in;m_s;Ts_out;I_dir;I_diff;I_glob;T_amb;rho
10.07. 02:30:00;18;0;18;0;0;0;19.7;85.9
10.07. 02:45:00;18;0;18;0;0;0;19.7;85.9
10.07. 03:00:00;18;0;18;0;0;0;19.1;87.7
10.07. 03:15:00;18;0;18;0;0;0;19.1;87.7
10.07. 03:30:00;18;0;18;0;0;0;19.1;87.7
10.07. 03:45:00;18;0;18;0;0;0;19.1;87.7
10.07. 04:00:00;18;0;18;0;0;0;18.7;90.4
10.07. 04:15:00;18;0;18;0;0;0;18.7;90.4
10.07. 04:30:00;18;0;18;0;0;0;18.7;90.4
10.07. 04:45:00;18;0;18;0;0;0;18.7;90.4
10.07. 05:00:00;18;0;18;0;0;0;18.6;94
10.07. 05:15:00;18;0;18;0;0;0;18.6;94
10.07. 05:30:00;18;0;18;0;0;0;18.6;94
10.07. 05:45:00;18;0;18;0;0;0;18.6;94
10.07. 06:00:00;18;0;18;0;7;7;18.7;90.1
10.07. 06:15:00;18;0;18;0;7;7;18.7;90.1
10.07. 06:30:00;18;0;18;0;7;7;18.7;90.1
10.07. 06:45:00;18;0;18;0;7;7;18.7;90.1
10.07. 07:00:00;18;0;18;0;20.9;20.9;18.7;93.8
10.07. 07:15:00;18;0;18;0;21;21;18.7;93.8
10.07. 07:30:00;18;0;18;0;21;21;18.7;93.8
10.07. 07:45:00;18;0;18;0;21;21;18.7;93.8
10.07. 08:00:00;18;0;18;0;37.9;37.9;18.6;98
10.07. 08:15:00;18;0;18;0;38;38;18.6;98
10.07. 08:30:00;18;0;18;0;38;38;18.6;98
10.07. 08:45:00;18;0;18;0;38;38;18.6;98
10.07. 09:00:00;18;0;18;37.6;192;214;19.8;90.2
10.07. 09:15:00;18;0;18;37.6;193;215;19.8;90.2
10.07. 09:30:00;18;0;18;37.6;193;215;19.8;90.2
10.07. 09:45:00;18;0;18;37.6;193;215;19.8;90.2
10.07. 10:00:00;18;0;18;583;284;700;22.4;73.7
10.07. 10:15:00;18;0;18;583;285;703;22.4;73.6
10.07. 10:30:00;18;0;18;583;285;703;22.4;73.6
10.07. 10:45:00;18;0;18;583;285;703;22.4;73.6
10.07. 11:00:00;18;0;18;275;288;514;23.5;69.1
10.07. 11:15:00;18;0;18;275;288;513;23.5;69.1
10.07. 11:30:00;18;0;18;275;288;513;23.5;69.1
10.07. 11:45:00;18;0;18;275;288;513;23.5;69.1
10.07. 12:00:00;18;0;18;0;87.1;88.4;23;81.4
10.07. 12:15:00;18;0;18;0;86;86;23;81.5
10.07. 12:30:00;18;0;18;0;86;86;23;81.5
10.07. 12:45:00;18;0;18;0;86;86;23;81.5
10.07. 13:00:00;18;0;18;0;88;88;22.8;70.8
10.07. 13:15:00;18;0;18;0;88;88;22.8;70.7
10.07. 13:30:00;18;0;18;0;88;88;22.8;70.7
10.07. 13:45:00;18;0;18;0;88;88;22.8;70.7
10.07. 14:00:00;18;0;18;11.3;218;228;22.8;69.1
10.07. 14:15:00;18;0;18;11.3;219;229;22.8;69.1
10.07. 14:30:00;18;0;18;11.3;219;229;22.8;69.1
10.07. 14:45:00;18;0;18;11.3;219;229;22.8;69.1
10.07. 15:00:00;18;0;18;52.3;381;424;23.3;81.4
10.07. 15:15:00;18;0;18;52.3;382;425;23.3;81.5
10.07. 15:30:00;18;0;18;52.3;382;425;23.3;81.5
10.07. 15:45:00;18;0;18;52.3;382;425;23.3;81.5
10.07. 16:00:00;18;0;18;168;333;454;23.7;65.6
10.07. 16:15:00;18;0;18;168;333;454;23.7;65.5
10.07. 16:30:00;18;0;18;168;333;454;23.7;65.5
10.07. 16:45:00;18;0;18;168;333;454;23.7;65.5
10.07. 17:00:00;18;0;18;747;243;682;24.5;57.9
10.07. 17:15:00;18;0;18;747;242;683;24.5;57.9
10.07. 17:30:00;18;0;18;747;242;683;24.5;57.9
10.07. 17:45:00;18;0;18;747;242;683;24.5;57.9
10.07. 18:00:00;18;0;18;257;187;301;24.5;61
10.07. 18:15:00;18;0;18;257;187;299;24.5;61
10.07. 18:30:00;18;0;18;257;187;299;24.5;61
10.07. 18:45:00;18;0;18;257;187;299;24.5;61
10.07. 19:00:00;18;0;18;437;83.6;202;24.3;57.3
10.07. 19:15:00;18;0;18;437;83;201;24.3;57.3
10.07. 19:30:00;18;0;18;437;83;201;24.3;57.3
10.07. 19:45:00;18;0;18;437;83;201;24.3;57.3
10.07. 20:00:00;18;0;18;500;51.2;98.6;23.8;54.4
10.07. 20:15:00;18;0;18;500;51;98;23.8;54.4
10.07. 20:30:00;18;0;18;500;51;98;23.8;54.4
10.07. 20:45:00;18;0;18;500;51;98;23.8;54.4
10.07. 21:00:00;18;0;18;0;1.3;1.5;23.2;58.7
10.07. 21:15:00;18;0;18;0;1;1;23.2;58.7
10.07. 21:30:00;18;0;18;0;1;1;23.2;58.7
10.07. 21:45:00;18;0;18;0;1;1;23.2;58.7
10.07. 22:00:00;18;0;18;0;0.01;0.01;21.5;68.5
10.07. 22:15:00;18;0;18;0;0;0;21.5;68.6
10.07. 22:30:00;18;0;18;0;0;0;21.5;68.6
10.07. 22:45:00;18;0;18;0;0;0;21.5;68.6
10.07. 23:00:00;18;0;18;0;0;0;19.9;73.4
10.07. 23:15:00;18;0;18;0;0;0;19.9;73.4
10.07. 23:30:00;18;0;18;0;0;0;19.9;73.4
10.07. 23:45:00;18;0;18;0;0;0;19.9;73.4
11.07. 00:00:00;18;0;18;0;0;0;18.3;80.2
11.07. 00:15:00;18;0;18;0;0;0;18.3;80.2
11.07. 00:30:00;18;0;18;0;0;0;18.3;80.2
11.07. 00:45:00;18;0;18;0;0;0;18.3;80.2
11.07. 01:00:00;18;0;18;0;0;0;17;91.2
11.07. 01:15:00;18;0;18;0;0;0;17;91.4
11.07. 01:30:00;18;0;18;0;0;0;17;91.4
11.07. 01:45:00;18;0;18;0;0;0;17;91.4
11.07. 02:00:00;18;0;18;0;0;0;15.6;95.2
11.07. 02:15:00;18;0;18;0;0;0;15.6;95.3
11.07. 02:30:00;18;0;18;0;0;0;15.6;95.3
11.07. 02:45:00;18;0;18;0;0;0;15.6;95.3
11.07. 03:00:00;18;0;18;0;0;0;14.8;96.2
11.07. 03:15:00;18;0;18;0;0;0;14.8;96.2
11.07. 03:30:00;18;0;18;0;0;0;14.8;96.2
11.07. 03:45:00;18;0;18;0;0;0;14.8;96.2
11.07. 04:00:00;18;0;18;0;0;0;14.3;99.2
11.07. 04:15:00;18;0;18;0;0;0;14.3;99.2
11.07. 04:30:00;18;0;18;0;0;0;14.3;99.2
11.07. 04:45:00;18;0;18;0;0;0;14.3;99.2
11.07. 05:00:00;18;0;18;0;0;0;14.2;99.5
11.07. 05:15:00;18;0;18;0;0;0;14.2;99.5
11.07. 05:30:00;18;0;18;0;0;0;14.2;99.5
11.07. 05:45:00;18;0;18;0;0;0;14.2;99.5
11.07. 06:00:00;18;0;18;336;31.8;59.7;14.8;93.9
11.07. 06:15:00;18;0;18;336;32;60;14.8;93.9
11.07. 06:30:00;18;0;18;336;32;60;14.8;93.9
11.07. 06:45:00;18;0;18;336;32;60;14.8;93.9
11.07. 07:00:00;18;0;18;398;78.7;182;16;87.3
11.07. 07:15:00;18;0;18;398;79;183;16;87.3
11.07. 07:30:00;18;0;18;398;79;183;16;87.3
11.07. 07:45:00;18;0;18;398;79;183;16;87.3
11.07. 08:00:00;18;0;18;441;140;328;17.4;80.3
11.07. 08:15:00;18;0;18;441;140;329;17.4;80.3
11.07. 08:30:00;18;0;18;441;140;329;17.4;80.3
11.07. 08:45:00;18;0;18;441;140;329;17.4;80.3
11.07. 09:00:00;18;0;18;482;192;472;18.9;71.3
11.07. 09:15:00;18;0;18;482;192;473;18.9;71.2
11.07. 09:30:00;18;0;18;482;192;473;18.9;71.2
11.07. 09:45:00;18;0;18;482;192;473;18.9;71.2
11.07. 10:00:00;18;0;18;500;242;599;20.4;60.1
11.07. 10:15:00;18;0;18;500;242;600;20.4;60
11.07. 10:30:00;18;0;18;500;242;600;20.4;60
11.07. 10:45:00;18;0;18;500;242;600;20.4;60
11.07. 11:00:00;18;0;18;532;263;697;21.8;54.8
11.07. 11:15:00;18;0;18;532;263;698;21.8;54.8
11.07. 11:30:00;18;0;18;532;263;698;21.8;54.8
11.07. 11:45:00;18;0;18;532;263;698;21.8;54.8
11.07. 12:00:00;18;0;18;515;305;759;22.9;48.8
11.07. 12:15:00;18;0;18;515;305;759;22.9;48.8
11.07. 12:30:00;18;0;18;515;305;759;22.9;48.8
11.07. 12:45:00;18;0;18;515;305;759;22.9;48.8
11.07. 13:00:00;18;0;18;544;287;779;23.9;44.2
11.07. 13:15:00;18;0;18;544;287;779;23.9;44.2
11.07. 13:30:00;18;0;18;544;287;779;23.9;44.2
11.07. 13:45:00;18;0;18;544;287;779;23.9;44.2
11.07. 14:00:00;18;0;18;504;309;754;24.6;41.6
11.07. 14:15:00;18;0;18;504;309;754;24.6;41.6
11.07. 14:30:00;18;0;18;504;309;754;24.6;41.6
11.07. 14:45:00;18;0;18;504;309;754;24.6;41.6
11.07. 15:00:00;18;0;18;521;269;697;25;39.3
11.07. 15:15:00;18;0;18;521;269;697;25;39.3
11.07. 15:30:00;18;0;18;521;269;697;25;39.3
11.07. 15:45:00;18;0;18;521;269;697;25;39.3
11.07. 16:00:00;18;0;18;484;251;601;25.2;38.7
11.07. 16:15:00;18;0;18;484;251;600;25.2;38.7
11.07. 16:30:00;18;0;18;484;251;600;25.2;38.7
11.07. 16:45:00;18;0;18;484;251;600;25.2;38.7
11.07. 17:00:00;18;0;18;475;198;479;25;39.1
11.07. 17:15:00;18;0;18;475;198;478;25;39.1
11.07. 17:30:00;18;0;18;475;198;478;25;39.1
11.07. 17:45:00;18;0;18;475;198;478;25;39.1
11.07. 18:00:00;18;0;18;434;145;335;24.4;41.6
11.07. 18:15:00;18;0;18;434;145;334;24.4;41.6
11.07. 18:30:00;18;0;18;434;145;334;24.4;41.6
11.07. 18:45:00;18;0;18;434;145;334;24.4;41.6
11.07. 19:00:00;18;0;18;405;81.4;191;23.5;45.7
11.07. 19:15:00;18;0;18;405;81;190;23.5;45.7
11.07. 19:30:00;18;0;18;405;81;190;23.5;45.7
11.07. 19:45:00;18;0;18;405;81;190;23.5;45.7
11.07. 20:00:00;18;0;18;347;34.3;66.7;22.4;49.1
11.07. 20:15:00;18;0;18;347;34;66;22.4;49.1
11.07. 20:30:00;18;0;18;347;34;66;22.4;49.1
11.07. 20:45:00;18;0;18;347;34;66;22.4;49.1
11.07. 21:00:00;18;0;18;0;0.2;0.4;21.3;49.7
11.07. 21:15:00;18;0;18;0;0;0;21.3;49.7
11.07. 21:30:00;18;0;18;0;0;0;21.3;49.7
11.07. 21:45:00;18;0;18;0;0;0;21.3;49.7
11.07. 22:00:00;18;0;18;0;0;0;19.5;61
11.07. 22:15:00;18;0;18;0;0;0;19.5;61.1
11.07. 22:30:00;18;0;18;0;0;0;19.5;61.1
11.07. 22:45:00;18;0;18;0;0;0;19.5;61.1
11.07. 23:00:00;18;0;18;0;0;0;17.8;66.6
11.07. 23:15:00;18;0;18;0;0;0;17.8;66.6
11.07. 23:30:00;18;0;18;0;0;0;17.8;66.6
11.07. 23:45:00;18;0;18;0;0;0;17.8;66.6
12.07. 00:00:00;18;0;18;0;0;0;16;69.4
12.07. 00:15:00;18;0;18;0;0;0;16;69.4
12.07. 00:30:00;18;0;18;0;0;0;16;69.4
12.07. 00:45:00;18;0;18;0;0;0;16;69.4
12.07. 01:00:00;18;0;18;0;0;0;14.9;75
12.07. 01:15:00;18;0;18;0;0;0;14.9;75.1
12.07. 01:30:00;18;0;18;0;0;0;14.9;75.1
12.07. 01:45:00;18;0;18;0;0;0;14.9;75.1
12.07. 02:00:00;18;0;18;0;0;0;13.7;78.6
12.07. 02:15:00;18;0;18;0;0;0;13.7;78.7
12.07. 02:30:00;18;0;18;0;0;0;13.7;78.7
12.07. 02:45:00;18;0;18;0;0;0;13.7;78.7
12.07. 03:00:00;18;0;18;0;0;0;13.1;81
12.07. 03:15:00;18;0;18;0;0;0;13.1;81
12.07. 03:30:00;18;0;18;0;0;0;13.1;81
12.07. 03:45:00;18;0;18;0;0;0;13.1;81
12.07. 04:00:00;18;0;18;0;0;0;12.6;85.3
12.07. 04:15:00;18;0;18;0;0;0;12.6;85.3
12.07. 04:30:00;18;0;18;0;0;0;12.6;85.3
12.07. 04:45:00;18;0;18;0;0;0;12.6;85.3
12.07. 05:00:00;18;0;18;0;0;0;12.5;83.8
12.07. 05:15:00;18;0;18;0;0;0;12.5;83.8
12.07. 05:30:00;18;0;18;0;0;0;12.5;83.8
12.07. 05:45:00;18;0;18;0;0;0;12.5;83.8
12.07. 06:00:00;18;0;18;412;32.8;65.6;13.2;78.9
12.07. 06:15:00;18;0;18;412;33;66;13.2;78.9
12.07. 06:30:00;18;0;18;412;33;66;13.2;78.9
12.07. 06:45:00;18;0;18;412;33;66;13.2;78.9
12.07. 07:00:00;18;0;18;556;57.9;201;14.5;76.1
12.07. 07:15:00;18;0;18;556;58;202;14.5;76.1
12.07. 07:30:00;18;0;18;556;58;202;14.5;76.1
12.07. 07:45:00;18;0;18;556;58;202;14.5;76.1
12.07. 08:00:00;18;0;18;669;81.9;366;16.2;70.1
12.07. 08:15:00;18;0;18;669;82;367;16.2;70.1
12.07. 08:30:00;18;0;18;669;82;367;16.2;70.1
12.07. 08:45:00;18;0;18;669;82;367;16.2;70.1
12.07. 09:00:00;18;0;18;731;106;530;17.9;65.7
12.07. 09:15:00;18;0;18;731;106;531;17.9;65.7
12.07. 09:30:00;18;0;18;731;106;531;17.9;65.7
12.07. 09:45:00;18;0;18;731;106;531;17.9;65.7
12.07. 10:00:00;18;0;18;745;142;673;19.7;58.3
12.07. 10:15:00;18;0;18;745;142;674;19.7;58.3
12.07. 10:30:00;18;0;18;745;142;674;19.7;58.3
12.07. 10:45:00;18;0;18;745;142;674;19.7;58.3
12.07. 11:00:00;18;0;18;744;178;784;21.3;54.3
12.07. 11:15:00;18;0;18;744;178;785;21.3;54.3
12.07. 11:30:00;18;0;18;744;178;785;21.3;54.3
12.07. 11:45:00;18;0;18;744;178;785;21.3;54.3
12.07. 12:00:00;18;0;18;738;205;855;22.7;49.3
12.07. 12:15:00;18;0;18;738;205;855;22.7;49.3
12.07. 12:30:00;18;0;18;738;205;855;22.7;49.3
12.07. 12:45:00;18;0;18;738;205;855;22.7;49.3
12.07. 13:00:00;18;0;18;733;217;879;23.8;48.2
12.07. 13:15:00;18;0;18;733;217;879;23.8;48.2
12.07. 13:30:00;18;0;18;733;217;879;23.8;48.2
12.07. 13:45:00;18;0;18;733;217;879;23.8;48.2
12.07. 14:00:00;18;0;18;737;207;857;24.6;43
12.07. 14:15:00;18;0;18;737;207;857;24.6;43
12.07. 14:30:00;18;0;18;737;207;857;24.6;43
12.07. 14:45:00;18;0;18;737;207;857;24.6;43
12.07. 15:00:00;18;0;18;744;180;790;25.2;45
12.07. 15:15:00;18;0;18;744;180;790;25.2;45
12.07. 15:30:00;18;0;18;744;180;790;25.2;45
12.07. 15:45:00;18;0;18;744;180;790;25.2;45
12.07. 16:00:00;18;0;18;746;144;682;25.3;44.3
12.07. 16:15:00;18;0;18;746;144;681;25.3;44.3
12.07. 16:30:00;18;0;18;746;144;681;25.3;44.3
12.07. 16:45:00;18;0;18;746;144;681;25.3;44.3
12.07. 17:00:00;18;0;18;731;109;540;25.2;46
12.07. 17:15:00;18;0;18;731;109;539;25.2;46
12.07. 17:30:00;18;0;18;731;109;539;25.2;46
12.07. 17:45:00;18;0;18;731;109;539;25.2;46
12.07. 18:00:00;18;0;18;679;82.2;378;24.5;47.2
12.07. 18:15:00;18;0;18;679;82;377;24.5;47.2
12.07. 18:30:00;18;0;18;679;82;377;24.5;47.2
12.07. 18:45:00;18;0;18;679;82;377;24.5;47.2
12.07. 19:00:00;18;0;18;568;59.1;212;23.5;52.5
12.07. 19:15:00;18;0;18;568;59;211;23.5;52.5
12.07. 19:30:00;18;0;18;568;59;211;23.5;52.5
12.07. 19:45:00;18;0;18;568;59;211;23.5;52.5
12.07. 20:00:00;18;0;18;421;35.1;73.8;22.2;57.8
12.07. 20:15:00;18;0;18;421;35;73;22.2;57.8
12.07. 20:30:00;18;0;18;421;35;73;22.2;57.8
12.07. 20:45:00;18;0;18;421;35;73;22.2;57.8
12.07. 21:00:00;18;0;18;0;0.2;0.4;20.8;68
12.07. 21:15:00;18;0;18;0;0;0;20.8;68.1
12.07. 21:30:00;18;0;18;0;0;0;20.8;68.1
12.07. 21:45:00;18;0;18;0;0;0;20.8;68.1
12.07. 22:00:00;18;0;18;0;0;0;19.8;78.4
12.07. 22:15:00;18;0;18;0;0;0;19.8;78.5
12.07. 22:30:00;18;0;18;0;0;0;19.8;78.5
12.07. 22:45:00;18;0;18;0;0;0;19.8;78.5
12.07. 23:00:00;18;0;18;0;0;0;18.8;80.3
12.07. 23:15:00;18;0;18;0;0;0;18.8;80.3
12.07. 23:30:00;18;0;18;0;0;0;18.8;80.3
12.07. 23:45:00;18;0;18;0;0;0;18.8;80.3
13.07. 00:00:00;18;0;18;0;0;0;17.8;84.7
13.07. 00:15:00;18;0;18;0;0;0;17.8;84.7
13.07. 00:30:00;18;0;18;0;0;0;17.8;84.7
13.07. 00:45:00;18;0;18;0;0;0;17.8;84.7
13.07. 01:00:00;18;0;18;0;0;0;17.5;83.4
13.07. 01:15:00;18;0;18;0;0;0;17.5;83.4
13.07. 01:30:00;18;0;18;0;0;0;17.5;83.4
13.07. 01:45:00;18;0;18;0;0;0;17.5;83.4
13.07. 02:00:00;18;0;18;0;0;0;17.1;85
13.07. 02:15:00;18;0;18;0;0;0;17.1;85
13.07. 02:30:00;18;0;18;0;0;0;17.1;85
13.07. 02:45:00;18;0;18;0;0;0;17.1;85
13.07. 03:00:00;18;0;18;0;0;0;16.9;89.2
13.07. 03:15:00;18;0;18;0;0;0;16.9;89.3
13.07. 03:30:00;18;0;18;0;0;0;16.9;89.3
13.07. 03:45:00;18;0;18;0;0;0;16.9;89.3
13.07. 04:00:00;18;0;18;0;0;0;16.7;93.5
13.07. 04:15:00;18;0;18;0;0;0;16.7;93.5
13.07. 04:30:00;18;0;18;0;0;0;16.7;93.5
13.07. 04:45:00;18;0;18;0;0;0;16.7;93.5
13.07. 05:00:00;18;0;18;0;0;0;16.7;95.6
13.07. 05:15:00;18;0;18;0;0;0;16.7;95.6
13.07. 05:30:00;18;0;18;0;0;0;16.7;95.6
13.07. 05:45:00;18;0;18;0;0;0;16.7;95.6
13.07. 06:00:00;18;0;18;169;38.8;51.7;17.3;98.8
13.07. 06:15:00;18;0;18;169;39;52;17.3;98.8
13.07. 06:30:00;18;0;18;169;39;52;17.3;98.8
13.07. 06:45:00;18;0;18;169;39;52;17.3;98.8
13.07. 07:00:00;18;0;18;491;91.7;217;18.9;86.4
13.07. 07:15:00;18;0;18;491;92;218;18.9;86.3
13.07. 07:30:00;18;0;18;491;92;218;18.9;86.3
13.07. 07:45:00;18;0;18;491;92;218;18.9;86.3
13.07. 08:00:00;18;0;18;278;178;296;20.2;80.9
13.07. 08:15:00;18;0;18;278;178;296;20.2;80.9
13.07. 08:30:00;18;0;18;278;178;296;20.2;80.9
13.07. 08:45:00;18;0;18;278;178;296;20.2;80.9
13.07. 09:00:00;18;0;18;89.8;234;286;20.7;86
13.07. 09:15:00;18;0;18;89.8;234;286;20.7;86
13.07. 09:30:00;18;0;18;89.8;234;286;20.7;86
13.07. 09:45:00;18;0;18;89.8;234;286;20.7;86
13.07. 10:00:00;18;0;18;254;324;504;22.3;68.3
13.07. 10:15:00;18;0;18;254;324;505;22.3;68.2
13.07. 10:30:00;18;0;18;254;324;505;22.3;68.2
13.07. 10:45:00;18;0;18;254;324;505;22.3;68.2
13.07. 11:00:00;18;0;18;270;352;572;23.6;61.5
13.07. 11:15:00;18;0;18;270;352;572;23.6;61.5
13.07. 11:30:00;18;0;18;270;352;572;23.6;61.5
13.07. 11:45:00;18;0;18;270;352;572;23.6;61.5
13.07. 12:00:00;18;0;18;12.5;250;262;23.5;63.7
13.07. 12:15:00;18;0;18;12.5;249;260;23.5;63.7
13.07. 12:30:00;18;0;18;12.5;249;260;23.5;63.7
13.07. 12:45:00;18;0;18;12.5;249;260;23.5;63.7
13.07. 13:00:00;18;0;18;0;76;76;22.8;80.2
13.07. 13:15:00;18;0;18;0;75;75;22.8;80.3
13.07. 13:30:00;18;0;18;0;75;75;22.8;80.3
13.07. 13:45:00;18;0;18;0;75;75;22.8;80.3
13.07. 14:00:00;18;0;18;12.5;237;248;22.8;66.1
13.07. 14:15:00;18;0;18;12.5;238;249;22.8;66
13.07. 14:30:00;18;0;18;12.5;238;249;22.8;66
13.07. 14:45:00;18;0;18;12.5;238;249;22.8;66
13.07. 15:00:00;18;0;18;42.7;368;403;23.1;60.8
13.07. 15:15:00;18;0;18;42.7;369;404;23.1;60.8
13.07. 15:30:00;18;0;18;42.7;369;404;23.1;60.8
13.07. 15:45:00;18;0;18;42.7;369;404;23.1;60.8
13.07. 16:00:00;18;0;18;191;337;474;23.5;60.3
13.07. 16:15:00;18;0;18;191;337;474;23.5;60.3
13.07. 16:30:00;18;0;18;191;337;474;23.5;60.3
13.07. 16:45:00;18;0;18;191;337;474;23.5;60.3
13.07. 17:00:00;18;0;18;392;239;468;23.8;59.7
13.07. 17:15:00;18;0;18;392;238;468;23.8;59.7
13.07. 17:30:00;18;0;18;392;238;468;23.8;59.7
13.07. 17:45:00;18;0;18;392;238;468;23.8;59.7
13.07. 18:00:00;18;0;18;23.1;161;173;23.3;75
13.07. 18:15:00;18;0;18;23.1;161;171;23.3;75.1
13.07. 18:30:00;18;0;18;23.1;161;171;23.3;75.1
13.07. 18:45:00;18;0;18;23.1;161;171;23.3;75.1
13.07. 19:00:00;18;0;18;211;119;175;22.9;64.9
13.07. 19:15:00;18;0;18;211;119;175;22.9;64.8
13.07. 19:30:00;18;0;18;211;119;175;22.9;64.8
13.07. 19:45:00;18;0;18;211;119;175;22.9;64.8
13.07. 20:00:00;18;0;18;0;11.6;11.9;22.1;67.8
13.07. 20:15:00;18;0;18;0;11;11;22.1;67.8
13.07. 20:30:00;18;0;18;0;11;11;22.1;67.8
13.07. 20:45:00;18;0;18;0;11;11;22.1;67.8
13.07. 21:00:00;18;0;18;0;0.1;0.1;21.4;73
13.07. 21:15:00;18;0;18;0;0;0;21.4;73
13.07. 21:30:00;18;0;18;0;0;0;21.4;73
13.07. 21:45:00;18;0;18;0;0;0;21.4;73
13.07. 22:00:00;18;0;18;0;0;0;20.4;78.1
13.07. 22:15:00;18;0;18;0;0;0;20.4;78.1
13.07. 22:30:00;18;0;18;0;0;0;20.4;78.1
13.07. 22:45:00;18;0;18;0;0;0;20.4;78.1
13.07. 23:00:00;18;0;18;0;0;0;19.5;79.3
13.07. 23:15:00;18;0;18;0;0;0;19.5;79.3
13.07. 23:30:00;18;0;18;0;0;0;19.5;79.3
13.07. 23:45:00;18;0;18;0;0;0;19.5;79.3
14.07. 00:00:00;18;0;18;0;0;0;18.5;81.5
14.07. 00:15:00;18;0;18;0;0;0;18.5;81.5
14.07. 00:30:00;18;0;18;0;0;0;18.5;81.5
14.07. 00:45:00;18;0;18;0;0;0;18.5;81.5
14.07. 01:00:00;18;0;18;0;0;0;18;83.1
14.07. 01:15:00;18;0;18;0;0;0;18;83.1
14.07. 01:30:00;18;0;18;0;0;0;18;83.1
14.07. 01:45:00;18;0;18;0;0;0;18;83.1
14.07. 02:00:00;18;0;18;0;0;0;17.4;83.1
14.07. 02:15:00;18;0;18;0;0;0;17.4;83.1
14.07. 02:30:00;18;0;18;0;0;0;17.4;83.1
14.07. 02:45:00;18;0;18;0;0;0;17.4;83.1
14.07. 03:00:00;18;0;18;0;0;0;17.1;85.7
14.07. 03:15:00;18;0;18;0;0;0;17.1;85.7
14.07. 03:30:00;18;0;18;0;0;0;17.1;85.7
14.07. 03:45:00;18;0;18;0;0;0;17.1;85.7
14.07. 04:00:00;18;0;18;0;0;0;16.8;90.5
14.07. 04:15:00;18;0;18;0;0;0;16.8;90.5
14.07. 04:30:00;18;0;18;0;0;0;16.8;90.5
14.07. 04:45:00;18;0;18;0;0;0;16.8;90.5
14.07. 05:00:00;18;0;18;0;0;0;16.8;89.5
14.07. 05:15:00;18;0;18;0;0;0;16.8;89.5
14.07. 05:30:00;18;0;18;0;0;0;16.8;89.5
14.07. 05:45:00;18;0;18;0;0;0;16.8;89.5
14.07. 06:00:00;18;0;18;0;25.9;25.9;16.9;96
14.07. 06:15:00;18;0;18;0;26;26;16.9;96
14.07. 06:30:00;18;0;18;0;26;26;16.9;96
14.07. 06:45:00;18;0;18;0;26;26;16.9;96
14.07. 07:00:00;18;0;18;0;80.7;80.7;17;96.3
14.07. 07:15:00;18;0;18;0;81;81;17;96.3
14.07. 07:30:00;18;0;18;0;81;81;17;96.3
14.07. 07:45:00;18;0;18;0;81;81;17;96.3
14.07. 08:00:00;18;0;18;68.7;178;207;18.5;85.4
14.07. 08:15:00;18;0;18;68.7;179;208;18.5;85.3
14.07. 08:30:00;18;0;18;68.7;179;208;18.5;85.3
14.07. 08:45:00;18;0;18;68.7;179;208;18.5;85.3
14.07. 09:00:00;18;0;18;38.1;240;262;19.4;81.6
14.07. 09:15:00;18;0;18;38.1;240;262;19.4;81.6
14.07. 09:30:00;18;0;18;38.1;240;262;19.4;81.6
14.07. 09:45:00;18;0;18;38.1;240;262;19.4;81.6
14.07. 10:00:00;18;0;18;137;331;428;20.5;81.6
14.07. 10:15:00;18;0;18;137;332;429;20.5;81.6
14.07. 10:30:00;18;0;18;137;332;429;20.5;81.6
14.07. 10:45:00;18;0;18;137;332;429;20.5;81.6
14.07. 11:00:00;18;0;18;108;376;464;21.5;63.9
14.07. 11:15:00;18;0;18;108;376;464;21.5;63.8
14.07. 11:30:00;18;0;18;108;376;464;21.5;63.8
14.07. 11:45:00;18;0;18;108;376;464;21.5;63.8
14.07. 12:00:00;18;0;18;26.2;360;383;21.9;56
14.07. 12:15:00;18;0;18;26.2;360;383;21.9;56
14.07. 12:30:00;18;0;18;26.2;360;383;21.9;56
14.07. 12:45:00;18;0;18;26.2;360;383;21.9;56
14.07. 13:00:00;18;0;18;10;284;294;22.1;55.9
14.07. 13:15:00;18;0;18;10;284;293;22.1;55.9
14.07. 13:30:00;18;0;18;10;284;293;22.1;55.9
14.07. 13:45:00;18;0;18;10;284;293;22.1;55.9
14.07. 14:00:00;18;0;18;5.7;241;246;22.1;55.2
14.07. 14:15:00;18;0;18;5.7;241;246;22.1;55.2
14.07. 14:30:00;18;0;18;5.7;241;246;22.1;55.2
14.07. 14:45:00;18;0;18;5.7;241;246;22.1;55.2
14.07. 15:00:00;18;0;18;29.3;341;365;22.3;51.3
14.07. 15:15:00;18;0;18;29.3;342;366;22.3;51.3
14.07. 15:30:00;18;0;18;29.3;342;366;22.3;51.3
14.07. 15:45:00;18;0;18;29.3;342;366;22.3;51.3
14.07. 16:00:00;18;0;18;19.5;292;306;22.4;52.2
14.07. 16:15:00;18;0;18;19.5;292;306;22.4;52.2
14.07. 16:30:00;18;0;18;19.5;292;306;22.4;52.2
14.07. 16:45:00;18;0;18;19.5;292;306;22.4;52.2
14.07. 17:00:00;18;0;18;1.7;169;170;22.1;54.1
14.07. 17:15:00;18;0;18;1.7;168;169;22.1;54.1
14.07. 17:30:00;18;0;18;1.7;168;169;22.1;54.1
14.07. 17:45:00;18;0;18;1.7;168;169;22.1;54.1
14.07. 18:00:00;18;0;18;0;80.5;80.5;21.6;55.9
14.07. 18:15:00;18;0;18;0;80;80;21.6;55.9
14.07. 18:30:00;18;0;18;0;80;80;21.6;55.9
